FrameId	Name	dG	Equation
RXN-13370	EC 1.13.11.64	-89.26414	5-nitrosalicylate + oxygen  ->  2-oxo-3-(5-oxofuran-2-ylidene)propanoate + nitrite + H+
RXN-16832	EC 4.1.1.60	-29.307144	puberulonate + H2O  =  puberulate + CO2 + H+
LYSINE-RACEMASE-RXN	EC 5.1.1.5	0.0	L-lysine  ->  D-lysine
FUMHYDR-RXN	EC 4.2.1.2	0.6130066	(S)-malate  <-->  fumarate + H2O
RXN-12149	L-rhamnose pyranase	0.23999786	L-rhamnopyranose  <-->  L-rhamnofuranose
DIHYDROURACIL-OXIDASE-RXN	EC 1.3.3.7	-35.92	5,6-dihydrouracil + oxygen  ->  hydrogen peroxide + uracil
RXN3O-4157	EC 2.6.1.58	-2.4700012	L-tyrosine + pyruvate  <-->  4-hydroxyphenylpyruvate + L-alanine
RXN-14845	EC 2.6.1.103	1.3241119	(S)-3,5-dihydroxyphenylglycine + 2-oxoglutarate  <-->  2-(3,5-dihydroxyphenyl)-2-oxoacetate + L-glutamate
XANTHINE-OXIDASE-RXN	EC 1.17.3.2	2.1259918	xanthine + oxygen + H2O  ->  urate + hydrogen peroxide
MALEYLACETOACETATE-ISOMERASE-RXN	EC 5.2.1.2	0.0	4-maleyl-acetoacetate  ->  4-fumaryl-acetoacetate
RXN-15121	RXN-15121	-36.390003	(2Z)-2-aminobut-2-enoate  ->  2-iminobutanoate
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC 3.5.1.62	-3.2312317	N-acetylputrescine + H2O  =  putrescine + acetate
D-ALANINE-AMINOTRANSFERASE-RXN	EC 2.6.1.21	-1.4558716	2-oxoglutarate + D-alanine  <-->  D-glutamate + pyruvate
RXN-15851	EC 1.1.3.47	-112.78836	5-hydroxymethylfurfural + 3 oxygen + 2 H2O  ->  furan-2,5-dicarboxylate + 3 hydrogen peroxide + 2 H+
RXN0-985	EC 1.14.11.33	-126.59	N3-methylcytosine + 2-oxoglutarate + oxygen  ->  cytosine + CO2 + formaldehyde + succinate + H+
RXN-18211	RXN-18211	-1.8417816	3-ethyl-2-oxosuccinate + H+  ->  2-oxovalerate + CO2
RXN-15356	RXN-15356	-1.7499924	keto-L-rhamnulose  ->  L-rhamnulofuranose
TYROSINE-AMINOTRANSFERASE-RXN	EC 2.6.1.5/2.6.1.57	-0.605896	L-tyrosine + 2-oxoglutarate  <-->  4-hydroxyphenylpyruvate + L-glutamate
RXN-14173	EC 3.5.1.100	-4.7129974	(R)-piperidine-3-carboxamide + H2O  ->  (R)-nipecotate + ammonium
ALDOSE1EPIM-RXN	EC 5.1.3.3	0.0	beta-D-galactose  <-->  alpha-D-galactose
R103-RXN	EC 4.2.1.108	-2.9970016	(2S)-4-acetamido-2-aminobutanoate  ->  ectoine + H2O
RXN-12073	EC 1.13.11.16	-69.33823	2,3-dihydroxy-trans-cinnamate + oxygen  ->  (2Z,4E,7E)-2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioate + H+
RXN-6201	EC 4.1.1.97	12.074127	(S)-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+  ->  (S)-(+)-allantoin + CO2
MANDELATE-4-MONOOXYGENASE-RXN	EC 1.14.16.6	-99.987015	(6R)-tetrahydrobiopterin + (S)-mandelate + oxygen  ->  7,8-dihydrobiopterin + (S)-4-hydroxymandelate + H2O
RXN-15139	RXN-15139	-158.966	adenine + 2 hydroxyl radical  ->  isoguanine + H2O
RXN-15903	EC 3.1.1.-	-6.971237	D-galactaro-1,4-lactone + H2O  =  D-galactarate + H+
RXN-13113	1,3-dimethylurate synthase	-61.62	theophylline  ->  1,3-dimethylurate
RXN66-1	EC 1.11.1.6	-71.334	ethanol + hydrogen peroxide  ->  acetaldehyde + 2 H2O
HYDROXYACID-OXOACID-TRANSHYDROGENASE-RXN	EC 1.1.99.24	-6.2299805	(S)-3-hydroxybutanoate + 2-oxoglutarate  =  (R)-2-hydroxyglutarate + acetoacetate
23-DIMETHYLMALATE-LYASE-RXN	EC 4.1.3.32	4.2241135	(2R,3S)-2,3-dimethylmalate  ->  propanoate + pyruvate
3.4.13.22-RXN	EC 3.4.13.22	-0.46299744	D-alanyl-D-alanine + H2O  ->  2 D-alanine
RXN-7908	EC 4.2.1.96	-24.43599	(6R)-4a-hydroxy-tetrahydrobiopterin  ->  L-erythro-7,8-dihydrobiopterin + H2O
RXN-14360	EC 5.3.3.-	0.0	5-dehydro-L-gluconate  ->  D-tagaturonate
ALLANTOIN-RACEMASE-RXN	EC 5.1.99.3	0.0	(S)-(+)-allantoin  <-->  (R)-(-)-allantoin
BARBITURASE-RXN	EC 3.5.2.1	13.215233	barbiturate + H+ + H2O  ->  ureidomalonate
RXN0-5224	EC 4.2.1.1	1.4471283	hydrogencarbonate + H+  <-->  CO2 + H2O
RXN-15195	RXN-15195	-2.3470001	octopamine  ->  4-[(Z)-2-aminoethenyl]phenol + H2O + H+
RXN-15925	RXN-15925	0.23999786	L-galactono-1,5-lactone  ->  L-galactono-1,4-lactone
GLYCINE-AMIDINOTRANSFERASE-RXN	EC 2.1.4.1	0.8699951	glycine + L-arginine  ->  guanidinoacetate + L-ornithine
RXN-13134	EC 1.13.11.-	-73.25824	4-amino-3-hydroxybenzoate + oxygen  ->  (2Z,4Z)-2-amino-5-formylhexa-2,4-dienedioate + H+
URACIL-5-CARBOXYLATE-DECARBOXYLASE-RXN	EC 4.1.1.66	0.5241089	uracil 5-carboxylate + H+  =  CO2 + uracil
RXN-14904	RXN-14904	-5.0399933	alpha-D-ribofuranose  <-->  beta-D-ribofuranose
R207-RXN	R207-RXN	1.472992	(2S)-homocitrate  =  cis-homoaconitate + H2O
RXN-10015	RXN-10015	-3.87	autoinducer 2  ->  (2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one
CYANIDE-HYDRATASE-RXN	EC 4.2.1.66	14.583	hydrogen cyanide + H2O  ->  formamide
GLUCONOLACT-RXN	EC 3.1.1.17	-7.14711	D-glucono-1,5-lactone + H2O  ->  D-gluconate + H+
RXN-10857	EC 4.1.2.25	2.56	7,8-dihydromonapterin  ->  glycolaldehyde + 6-(hydroxymethyl)-7,8-dihydropterin
RXN-14123	EC 1.14.11.39	-107.23004	2-oxoglutarate + L-asparagine + oxygen  ->  (3S)-3-hydroxy-L-asparagine + succinate + CO2
RXN-17614	RXN-17614	-9.620003	tert-butoxymethanol  =  tert-butyl alcohol + formaldehyde
PHENYLALANINE-AMMONIA-LYASE-RXN	EC 4.3.1.24/4.3.1.25	-2.3541145	L-phenylalanine  ->  trans-cinnamate + ammonium
4.1.1.86-RXN	EC 4.1.1.86	-3.714117	L-2,4-diaminobutanoate + H+  ->  propane-1,3-diamine + CO2
RXN-10759	EC 3.5.1.100	-4.7130127	(R)-piperazine-2-carboxamide + H2O  ->  (R)-piperazine-2-carboxylate + ammonium
LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN	EC 2.6.1.71	-0.91587734	pyruvate + L-lysine  <-->  L-alanine + (S)-2-amino-6-oxohexanoate
METHYLGALLATE-RXN	EC 1.13.11.-	-124.708244	3-O-methylgallate + oxygen  ->  2-pyrone-4,6-dicarboxylate + methanol + H+
RXN-12950	RXN-12950	-14.3	2-hydroxy-4(1H)-quinolone  ->  4-hydroxy-2(1H)-quinolone
4.2.1.103-RXN	EC 4.2.1.103	-22.487	N-cyclohexylformamide  =  cyclohexyl-isocyanide + H2O
RXN-19275	EC 4.1.1.107	-36.583	L-dopa + oxygen + H2O  ->  3,4-dihydroxyphenylacetaldehyde + CO2 + ammonia + hydrogen peroxide
RXN-8	EC 2.6.1.113	-0.29175568	putrescine + pyruvate  <-->  4-aminobutanal + L-alanine
RXN-16224	EC 4.2.1.156	-8.166977	L-talarate  =  5-dehydro-4-deoxy-D-glucarate + H2O
RXN-9600	EC 1.4.3.22	-23.962997	histamine + H2O + oxygen  ->  imidazole acetaldehyde + ammonium + hydrogen peroxide
CYTIDEAM2-RXN	EC 3.5.4.5	8.626999	cytidine + H+ + H2O  ->  uridine + ammonium
RXN-14503	RXN-14503	-0.5200043	aldehydo-D-xylose  <-->  D-xylopyranose
RXN-668	EC 3.7.1.-	-12.547123	2-hydroxy-7-methyl-6-oxo-2,4-octadienoate + H2O  ->  (2Z)-2-hydroxypenta-2,4-dienoate + isobutanoate + H+
MIMOSINASE-RXN	EC 3.5.1.61	2.771103	L-mimosine + H+ + H2O  =  L-serine + 3-hydroxy-4h-pyrid-4-one
RXN-8779	RXN-8779	-2.65	L-sorbosone  ->  L-sorbosone 2,6-lactone
RXN-14165	RXN-14165	-39.480003	umbelliferone  ->  esculetin
1.13.11.28-RXN	EC 1.13.11.28	-98.7606	2,3-dihydroxybenzoate + oxygen  ->  2-carboxy-cis,cis-muconate + 2 H+
RXN-13722	EC 4.2.1.114	1.42	(2R)-homocitrate  =  (1R,2S)-homoisocitrate
RXN-10814	EC 2.6.1.1	-0.22587585	L-phenylalanine + 2-oxoglutarate  <-->  keto-phenylpyruvate + L-glutamate
RXN-15455	EC 3.5.2.-	-44.107124	1,3,7-trimethyl-5-hydroxyisourate + H2O  ->  3,6,8-trimethyl-2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline + H+
CARNITINE-DECARBOXYLASE-RXN	EC 4.1.1.42	-4.899994	L-carnitine + H+  =  CO2 + 2-methylcholine
RXN-8019	<i>N</i>-cyclopropylammeline deaminase	3.7169952	N-cyclopropylammeline + H+ + H2O  ->  N-cyclopropylammelide + ammonium
RXN-11522	RXN-11522	-40.853004	caffeine + oxygen + H2O  ->  1,3,7-trimethylurate + hydrogen peroxide
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	EC 4.2.1.80	8.003014	(2Z)-2-hydroxypenta-2,4-dienoate + H2O  ->  (S)-4-hydroxy-2-oxopentanoate
RXN-2462	EC 3.1.1.57	21.99466	2-pyrone-4,6-dicarboxylate + H2O  ->  (1E)-4-oxobut-1-ene-1,2,4-tricarboxylate + H+
RXN-10083	EC 3.1.1.24	8.928757	4-methyl-3-oxoadipate-enol-lactone + H2O  ->  4-methyl-3-oxoadipate + H+
D-ARGINASE-RXN	EC 3.5.3.10	-3.572998	D-arginine + H2O  =  urea + D-ornithine
RXN-13328	EC 2.6.1.96	-2.3700104	4-aminobutanoate + glyoxylate  <-->  succinate semialdehyde + glycine
RXN-18144	RXN-18144	0.0	(E)-(4-hydroxyphenyl)acetaldehyde oxime  ->  (Z)-[(4-hydroxyphenyl)acetaldehyde oxime]
GLUTDECARBOX-RXN	EC 4.1.1.15	-2.465866	L-glutamate + H+  ->  CO2 + 4-aminobutanoate
RXN-10447	EC 3.7.1.23	-14.357147	3-maleylpyruvate + H2O  ->  maleate + pyruvate + H+
RXN-15481	RXN-15481	-63.247	gentisyl alcohol + oxygen  ->  phyllostine + H2O
PYRIDOXAL-OXIDASE-RXN	EC 1.2.3.8	-42.087135	pyridoxal + oxygen + H2O  ->  hydrogen peroxide + 4-pyridoxate + H+
MANNONDEHYDRAT-RXN	EC 4.2.1.8	-8.166992	D-mannonate  ->  2-dehydro-3-deoxy-D-gluconate + H2O
RXN-8037	RXN-8037	2.8471215	coumarinate + H+  ->  coumarin + H2O
RXN-9639	<i>N,N</i>-dihydroxy-L-isoleucine carboxy-lyase	-6.4728775	N,N-dihydroxy-L-isoleucine + H+  ->  (1E,2S)-2-methylbutanal oxime + CO2 + H2O
RXN-9142	RXN-9142	-18.626999	5-epi-valiolone  ->  valienone + H2O
GLYCEROL-DEHYDRATASE-RXN	EC 4.2.1.30	-6.4469986	glycerol  ->  3-hydroxypropionaldehyde + H2O
RXN-15300	EC 1.1.3.46	-29.44999	(S)-4-hydroxymandelate + oxygen  ->  2-(4-hydroxyphenyl)-2-oxoacetate + hydrogen peroxide
RXN-14202	EC 3.1.1.-	-8.667084	D-glucurono-6,3-lactone + H2O  ->  D-glucopyranuronate + H+
RXN-12537	EC 1.14.11.-	-104.620026	L-arginine + 2-oxoglutarate + oxygen  ->  Nomega-hydroxy-L-arginine + succinate + CO2
RXN-16814	RXN-16814	-30.180004	(2E,4Z,6E)-5-formyl-2-hydroxy-8-oxoocta-2,4,6-trienoate  ->  2-hydroxy-3-[(1E)-3-oxoprop-1-en-1-yl]-2H-pyran-6-carboxylate
RXNQT-4366	EC 3.1.1.1	0.46287537	methylsalicylate + H2O  ->  salicylate + methanol + H+
RXN-10118	EC 1.13.11.M6	-54.512352	3-fluorocatechol + oxygen  ->  2-fluoromuconate + 2 H+
RXN-8832	EC 1.13.11.74	-72.63412	2-amino-5-methylphenol + oxygen  ->  (2Z,4E)-2-amino-5-methyl-muconate semialdehyde + H+
2.6.1.56-RXN	EC 2.6.1.56	-3.2117767	pyruvate + D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol  <-->  L-alanine + D-1-guanidino-1-deoxy-3-dehydro-scyllo-inositol
N6-METHYL-LYSINE-OXIDASE-RXN	EC 1.5.3.4	-18.983017	N6-methyl-L-lysine + oxygen + H2O  ->  hydrogen peroxide + formaldehyde + L-lysine
RXN-12861	dehydroascorbate hydrolase	-11.454147	dehydroascorbate (bicyclic form)  ->  2,3-dioxo-L-gulonate + H+
RXN-11747	EC 2.2.1.8	-0.69000244	fluoroacetaldehyde + L-threonine  ->  acetaldehyde + 4-fluorothreonine
AMINEPHEN-RXN	EC 1.4.3.21	-23.96299	2-phenylethylamine + oxygen + H2O  ->  phenylacetaldehyde + ammonium + hydrogen peroxide
HISTTRANSAM-RXN	EC 2.6.1.38	1.3241043	L-histidine + 2-oxoglutarate  <-->  L-glutamate + imidazole-pyruvate
RXN-7594	RXN-7594	-6.6612244	4-oxoglutaramate + H2O  ->  2-oxoglutarate + ammonium
FUMARYLACETOACETASE-RXN	EC 3.7.1.2	-17.907135	4-fumaryl-acetoacetate + H2O  ->  fumarate + acetoacetate + H+
ASPARTATE-RACEMASE-RXN	EC 5.1.1.13	1.3500061	L-aspartate  ->  D-aspartate
RXN-8088	EC 1.2.3.9	-42.087124	benzaldehyde + oxygen + H2O  ->  benzoate + hydrogen peroxide + H+
ACETOLACTATE-DECARBOXYLASE-RXN	EC 4.1.1.5	-1.0458908	(S)-2-acetolactate + H+  ->  (R)-acetoin + CO2
RXN-16300	EC 5.3.3.19	0.0	3-[(2E,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate  ->  3-[(2Z,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate
DEHYDRO-L-GULONATE-DECARBOXYLASE-RXN	EC 4.1.1.34	-2.4658813	3-keto-L-gulonate + H+  ->  L-xylulose + CO2
RXN-13074	EC 5.4.99.58	-1.81	L-lysine  ->  (3R)-3-methyl-D-ornithine
1.1.3.37-RXN	EC 1.1.3.37	-47.149994	D-arabinono-1,4-lactone + oxygen  ->  dehydro-D-arabinono-1,4-lactone + hydrogen peroxide
RXN-8243	RXN-8243	-91.007	6-amino-2-oxohexanoate + hydrogen peroxide  ->  5-aminopentanoate + CO2 + H2O
RXN0-361	EC 3.2.2.3	-0.73301697	cytidine + H2O  ->  D-ribofuranose + cytosine
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	EC 4.1.1.44	-9.281769	(2-carboxy-2,5-dihydro-5-oxofuran-2-yl)-acetate + H+  ->  CO2 + (4,5-dihydro-5-oxofuran-2-yl)-acetate
RXN-12354	EC 5.3.2.M1	-4.95	(2Z,4E)-2-hydroxyhexa-2,4-dienedioate  ->  4-oxalocrotonate
RXN-5821	EC 1.4.3.4	-23.962994	tyramine + oxygen + H2O  ->  (4-hydroxyphenyl)acetaldehyde + ammonium + hydrogen peroxide
OXIMINOTRANSFERASE-RXN	EC 2.6.3.1	7.73999	acetone + pyruvic oxime  =  acetone-oxime + pyruvate
ACETYLORNTRANSAM-RXN	EC 2.6.1.11	0.3241272	N-acetyl-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + N-acetyl-L-glutamate 5-semialdehyde
R13-RXN	EC 3.5.4.8	-2.4030037	4-aminoimidazole + H2O + H+  ->  ammonium + 3,5-dihydro-4H-imidazol-4-one
RXN-11141	EC 2.6.1.112	-1.3700104	(S)-ureidoglycine + glyoxylate  <-->  N-carbamoyl-2-oxoglycine + glycine
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	EC 2.6.1.51	-2.5899963	pyruvate + L-serine  <-->  L-alanine + hydroxypyruvate
RXN-15850	RXN-15850	21.807003	iminoarginine + H2O  ->  5-guanidino-2-oxopentanoate + ammonium
TYROSINE-3-MONOOXYGENASE-RXN	EC 1.14.16.2	-77.481	L-tyrosine + (6R)-L-erythro-5,6,7,8-tetrahydrobiopterin + oxygen  ->  L-dopa + (6R)-4a-hydroxy-tetrahydrobiopterin
RXN66-569	EC 1.14.16.1	-75.171005	L-phenylalanine + (6R)-L-erythro-5,6,7,8-tetrahydrobiopterin + oxygen  ->  L-tyrosine + (6R)-4a-hydroxy-tetrahydrobiopterin
TARTRATE-DECARBOXYLASE-RXN	EC 4.1.1.73	0.25823975	L-tartrate + H+  =  D-glycerate + CO2
RXN66-142	RXN66-142	35.037773	4-hydroxy-4-(3-pyridyl)-butanoate  ->  4-(3-pyridyl)-3-butenoate
RXN-6161	EC 4.1.1.1	-2.6058807	pyruvate + H+  ->  acetaldehyde + CO2
RXN-9929	EC 1.3.98.1	-22.48996	(S)-dihydroorotate + fumarate  ->  orotate + succinate
RXN-15902	EC 5.5.1.27	-15.138214	D-galactaro-1,4-lactone  ->  5-dehydro-4-deoxy-D-glucarate + H+
RXN-13458	EC 4.2.1.-	-8.003006	(2E)-2-hydroxypenta-2,4-dienoate + H2O  =  (S)-4-hydroxy-2-oxopentanoate
1.13.11.6-RXN	EC 1.13.11.6	-73.25824	3-hydroxyanthranilate + oxygen  ->  aminocarboxymuconate semialdehyde + H+
4.1.1.80-RXN	EC 4.1.1.80	-3.46587	4-hydroxyphenylpyruvate + H+  ->  CO2 + (4-hydroxyphenyl)acetaldehyde
RXN-12096	L-2,4-diketo-3-deoxyrhamnoate hydrolase	-14.077133	2,4-didehydro-3-deoxy-L-rhamnonate + H2O  ->  pyruvate + (S)-lactate + H+
RXN-14727	EC 3.5.1.4	-6.507126	propionamide + H2O  ->  propanoate + ammonium
GENTISATE-DECARBOXYLASE-RXN	EC 4.1.1.62	0.5241089	gentisate + H+  =  CO2 + hydroquinone
N-ACETYLDIAMINOPIMELATE-DEACETYLASE-RXN	EC 3.5.1.47	-1.9829865	N-acetyl-L,L-2,6-diaminopimelate + H2O  ->  L,L-diaminopimelate + acetate
RXN-9771	RXN-9771	31.257004	2-iminosuccinate + H+ + H2O  =  oxaloacetate + ammonium
3.5.4.22-RXN	EC 3.5.4.22	23.307	1-pyrroline-4-hydroxy-2-carboxylate + H+ + H2O  ->  ammonium + 2,5-dioxopentanoate
RXN-10739	EC 1.1.3.-	-27.989998	2,5-bis-hydroxymethylfuran + oxygen  ->  5-hydroxymethylfurfural + hydrogen peroxide
DIGUANIDINOBUTANASE-RXN	EC 3.5.3.20	-3.5730019	1,4-diguanidinobutane + H2O  =  urea + agmatine
CYANAMIDE-HYDRATASE-RXN	EC 4.2.1.69	3.3230019	urea  =  cyanamide + H2O
PYROGALLOL-12-OXYGENASE-RXN	EC 1.13.11.35	-97.512344	pyrogallol + oxygen  ->  (2Z,4E)-2-hydroxyhexa-2,4-dienedioate + 2 H+
RXN-18432	EC 1.1.99.40	-0.48997498	(R)-2-hydroxyglutarate + pyruvate  <-->  2-oxoglutarate + (R)-lactate
RXN-16746	EC 1.1.3.48	-26.440002	3-deoxy-alpha-D-manno-2-octulosonate + oxygen  ->  3,8-dideoxy-8-oxo-alpha-D-manno-octulosonate + hydrogen peroxide
PHENYLALANINE-2-MONOOXYGENASE-RXN	EC 1.13.12.9	-110.80701	L-phenylalanine + oxygen  ->  2-phenylacetamide + CO2 + H2O
RXN0-5433	EC 4.1.2.53	0.54000854	2-dehydro-3-deoxy-L-rhamnonate  <-->  pyruvate + (S)-lactaldehyde
RXN-15941	EC 5.1.1.22	0.0	L-proline betaine  <-->  D-proline betaine
RXN-12854	RXN-12854	-24.60524	2,3-seco-dopa  ->  (4Z)-4-[(2E)-3-carboxylato-3-hydroxyprop-2-en-1-ylidene]-3,4-dihydro-2H-pyrrole-2-carboxylate + H+ + H2O
RXN-13670	EC 2.6.1.-	0.91587067	isobutanal + L-alanine  <-->  2-methylpropan-1-amine + pyruvate
RXN-10758	EC 3.5.1.101	-4.7129936	L-proline amide + H2O  =  L-proline + ammonium
RXN-15245	EC 2.5.1.118	-3.554123	O-acetyl-L-serine + isoxazolin-5-one  =  3-(5-oxoisoxazolin-2-yl)-L-alanine + acetate + H+
HISTIDINE-AMMONIA-LYASE-RXN	EC 4.3.1.3	-0.80412674	L-histidine  ->  ammonium + urocanate
LYSDECARBOX-RXN	EC 4.1.1.18	-3.714096	L-lysine + H+  ->  CO2 + cadaverine
THREONINE-ALDOLASE-RXN	EC 4.1.2.5/4.1.2.48	1.0	L-threonine  ->  acetaldehyde + glycine
RXN-7586	RXN-7586	-100.07715	2,6-dihydroxynicotinate + oxygen + H2O  ->  maleamate + formate + CO2 + H+
RXN-10041	EC 3.5.1.97	-1.0871353	HAI-1 + H2O  =  L-homoserine lactone + (R)-3-hydroxybutanoate
ISOCITRATE-EPIMERASE-RXN	EC 5.1.2.6	0.0	D-threo-isocitrate  =  D-erythro-isocitrate
RXN-7737	EC 2.6.1.83	-28.36113	L,L-diaminopimelate + 2-oxoglutarate  <-->  (S)-2,3,4,5-tetrahydrodipicolinate + L-glutamate + H2O + H+
RXN-14146	EC 4.1.2.-	-8.605911	2,4-dihydroxyhept-2-enedioate  =  succinate semialdehyde + pyruvate
RXN-15125	RXN-15125	-2.916996	L-serine  ->  2-aminoprop-2-enoate + H2O
R313-RXN	EC 4.2.1.84	-4.9769936	3-cyanopyridine + H2O  ->  nicotinamide
RXN-12872	RXN-12872	1.8000183	cyclic-2,3-O-oxalyl-L-threonate  ->  cyclic- 3,4-O-oxalyl-L-threonate
SUCCORNTRANSAM-RXN	EC 2.6.1.81	-0.2999878	N2-succinyl-L-ornithine + 2-oxoglutarate  <-->  L-glutamate + N2-succinyl-L-glutamate 5-semialdehyde
HOMOSERDEAM-RXN	EC 4.4.1.1	-8.12413	L-homoserine  ->  2-oxobutanoate + ammonium
RXN-15269	EC 1.17.3.-	-37.65	7,8-dihydropterin + oxygen  ->  2-amino-4-oxopteridine + hydrogen peroxide
CYTIDEAM-RXN	EC 3.5.4.5	8.626991	2'-deoxycytidine + H+ + H2O  ->  2'-deoxyuridine + ammonium
RXN-14501	RXN-14501	-2.32	aldehydo-D-mannose  ->  beta-D-mannopyranose
RXN-15147	RXN-15147	-7.5023346	O-succinyl-L-homoserine  ->  succinate + (2Z)-2-aminobut-2-enoate + 2 H+
CATECHOL-2-3-DIOXYGENASE-RXN	EC 1.13.11.2	-72.63413	3-methylcatechol + oxygen  ->  (2Z,4E)-2-hydroxy-5-methyl-6-oxohexa-2,4-dienoate + H+
4-HYDROXYMANDELATE-OXIDASE-RXN	EC 1.1.3.19	-30.455872	(S)-4-hydroxymandelate + oxygen + H+  ->  4-hydroxybenzaldehyde + CO2 + hydrogen peroxide
DOPACHROME-DELTA-ISOMERASE-RXN	EC 5.3.3.12	-19.029003	L-dopachrome  ->  5,6-dihydroxyindole-2-carboxylate
RXN66-104	RXN66-104	-40.350006	norcotinine  ->  4-oxo-4-(3-pyridyl)-butanamide
HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	EC 3.1.1.22	-2.7671356	(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate + H2O  ->  2 (R)-3-hydroxybutanoate + H+
25-DIOXOPIPERAZINE-HYDROLASE-RXN	EC 3.5.2.13	2.4369965	2,5-dioxopiperazine + H2O  =  glycyl-glycine
RXN-19385	EC 3.1.1.M7	-4.2871246	3-methylbutyl acetate + H2O  ->  3-methylbutanol + acetate + H+
RXN-8018	<i>N</i>-cyclopropylmelamine deaminase	3.7170258	N-cyclopropylmelamine + H+ + H2O  ->  N-cyclopropylammeline + ammonium
4.3.1.21-RXN	EC 4.3.1.9	-6.3140945	2-amino-2-deoxy-D-gluconate  =  ammonium + 2-dehydro-3-deoxy-D-gluconate
RXN-14364	EC 5.1.3.31	0.0	keto-D-tagatose  =  keto-D-sorbose
RXN-10082	EC 5.3.3.4	-8.57	3-methylmuconolactone  ->  4-methyl-3-oxoadipate-enol-lactone
RXN0-5228	EC 5.1.1.20	0.0	L-alanyl-D-glutamate  <-->  L-alanyl-L-glutamate
RXN-12017	EC 1.13.11.50	-99.854126	acetylacetone + oxygen  ->  acetate + methylglyoxal + H+
RXN-16808	RXN-16808	-30.180004	(2E,4Z,5E)-2-hydroxy-7-oxo-(2-oxoethylidene)hepta-2,5-dienoate  ->  2-hydroxy-4-[(1E)-3-oxoprop-1-en-1-yl]-2H-pyran-6-carboxylate
RXN-15200	EC 2.6.1.57	-0.38000488	keto-phenylpyruvate + L-tyrosine  <-->  L-phenylalanine + 4-hydroxyphenylpyruvate
RXN-11550	RXN-11550	10.22	1,3,7,9-tetramethylurate  ->  O(2),1,7,9-tetramethylurate
FORMIMINOGLUTAMATE-DEIMINASE-RXN	EC 3.5.3.13	1.6787415	N-formimino-L-glutamate + H2O  ->  ammonium + N-formyl-L-glutamate
NONENAL-RXN	NONENAL-RXN	-1.55	(3E)-3-nonenal  =  t-2-nonenal
ALKYLAMIDASE-RXN	EC 3.5.1.39	17.722885	N-methylhexanamide + H2O  =  methylamine + hexanoate
RXN-16475	RXN-16475	12.110016	4-deoxy-L-threo-hex-4-enopyranuronate  <-->  5-dehydro-4-deoxy-D-glucuronate
4.1.1.68-RXN	EC 4.1.1.68	2.7923431	(3E,5R)-5-carboxy-2-oxohept-3-enedioate + H+  ->  (4Z)-2-oxohept-4-enedioate + CO2
RXN-13741	EC 1.1.3.5	-33.660004	D-mannopyranose + oxygen  ->  D-mannono-1,5-lactone + hydrogen peroxide
RXN-8827	RXN-8827	-11.037125	2-hydroxy-5-nitro-6-oxohepta-2,4-dienoate + H2O  ->  2-hydroxy-5-nitropenta-2,4-dienoate + acetate + H+
RXN-17706	RXN-17706	-4.2758737	(2-aminobenzoyl)acetate + H+  ->  2-aminoacetophenone + CO2
BETA-LYSINE-56-AMINOMUTASE-RXN	EC 5.4.3.3	-1.81	L-beta-lysine  <-->  (3S,5S)-3,5-diaminohexanoate
L-GLUTAMATE-OXIDASE-RXN	EC 1.4.3.11	-24.91124	L-glutamate + H2O + oxygen  ->  2-oxoglutarate + ammonium + hydrogen peroxide
RXN0-5306	EC 5.1.3.32	0.0	alpha-L-rhamnopyranose  ->  beta-L-rhamnopyranose
RXN0-275	EC 3.5.2.-	-4.3471174	phenylhydantoin + H2O  ->  N-carbamoyl-D-phenylglycine + H+
RXN-15222	RXN-15222	0.5200043	beta-L-colitose  ->  aldehydo-L-colitose
RXN-8740	EC 1.13.11.66	-73.51412	hydroquinone + oxygen  ->  (2Z,4E)-4-hydroxy-6-oxohexa-2,4-dienoate + H+
4.1.2.28-RXN	EC 4.1.2.28	0.54000854	2-dehydro-3-deoxy-D-arabinonate  <-->  glycolaldehyde + pyruvate
ORNITHINE-CYCLODEAMINASE-RXN	EC 4.3.1.12	-2.0199852	L-ornithine  ->  L-proline + ammonium
RXN-8846	RXN-8846	-6.44	2-hydroxylaminobenzoate  ->  3-hydroxyanthranilate
5.1.1.18-RXN	EC 5.1.1.18	-2.050003	L-serine  ->  D-serine
RXN-14408	RXN-14408	-2.319992	aldehydo-D-glucose  ->  D-glucopyranose
